id,question,cypher_query,sql_query_2,sql_query_3
11,哪些微生物群与生猪饲养效率显著相关？这些微生物受哪些基因的调控？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmmgr where hecrbm.index = gmmgr.index and hecrbm.relationship in ('Anaerovibrio','Dorea','Eubacterium','Bacteroides','Clostridium','Lactobacillus','Oscillibacter','Ruminococcus','Faecalibacterium','Desulfovibrionaceae','Rikenellaceae','Streptococcaceae','Lactobacillaceae','Prevotellaceae','Ruminococcaceae','Lachnospiraceae','Lactobacillus johnsonii L531')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('EGFR','MAPK14','BCL2','CASP3','IL22','Prkaa2','Prkaa1','Gcg','Il6','Tnf','Il1b','Nos2','Chrm2','Fas','Arg1','Nr1h4','Fgf15','Fgfr4','Cyp7a1','Sirpa','Cpt1b','Fas','Arg1','Ahr','Srebf','Srebf2','Hmgcr')"
12,"哪些微生物群关联于生猪饲养效率，在""Fattening, Unmedicated feed formula / Antibiotics and zinc oxide""条件下的Pvalue在0.2与0.21之间？这些微生物受哪些基因的调控？这些基因的代谢通路有哪些？","match (s:Microbiota)-[r:ASSOCIATED_WITH]->(o) where r.pvalue>0.2 and r.pvalue<0.21 AND r.condition='""Fattening, Unmedicated feed formula / Antibiotics and zinc oxide""' return s.name,r","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results  gmmgr where hecrbm.index = gmmgr.index and hecrbm.relationship in ('Eubacteriaceae','Moraxellaceae','Acinetobacter','Anaeroplasma','Cellulosilyticum','Eubacterium')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BCL2','BAX','CASP3','Prkaa2','Prkaa1')"
13,"哪些微生物群关联于生猪饲养效率，在""Fresh / Fresh+enzyme""条件下Pvalue=0.19？这些微生物受哪些基因的调控？这些基因的代谢通路有哪些？","match (s:Microbiota)-[r:ASSOCIATED_WITH]->(o) where r.pvalue=0.19 and r.condition_name='Fresh / Fresh+enzyme' RETURN DISTINCT s.name,r","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmmgr where hecrbm.index = gmmgr.index and hecrbm.relationship in ('Defluviitaleaceae','Enterobacteriaceae')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('Slco4c1','Tnf','Ccl2','Tgfb1','Fn1','Col1a1')"
14,（genera）Dorea，Eubacterium，Bacteroides中哪些微生物群对生猪饲养效率是显著相关的？哪些基因的表达能够增加这些微生物群的数量？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Dorea"",""Eubacterium"",""Bacteroides""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmgcr where hecrbm.index = gmgcr.index and gmgcr.Alteration = 'increase' and relationship in ('Dorea','Eubacterium','Bacteroides')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BAX','CASP3','Prkaa2','Prkaa1','Nr1h4','Fgf15','Fgfr4','Fas')"
15,（genera）Eubacterium，Treponema bryantii中哪些微生物群对生猪饲养效率是显著相关的？哪些基因的表达能够增加这些微生物群的数量？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Eubacterium"",""Treponema bryantii""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmgcr where hecrbm.index = gmgcr.index and gmgcr.Alteration = 'increase' and relationship in ('Eubacterium','Lachnospiraceae')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BAX','CASP3','Prkaa2','Prkaa1')"
16,（genera）Bacteroides，Ruminococcaceae中哪些微生物群对生猪饲养效率是显著相关的？哪些基因的表达能够增加这些微生物群的数量？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Bacteroides"",""Ruminococcaceae""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmgcr where hecrbm.index = gmgcr.index and gmgcr.Alteration = 'increase' and relationship in ('Bacteroides','Ruminococcaceae')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BAX','CASP3','Nr1h4','Fgf15','Fgfr4','Fas')"
17,Clostridium中哪些微生物群对生猪饲养效率是显著相关的？哪些基因的表达能够增加这些微生物群的数量？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Clostridium"",""Prevotellaceae"",""Treponema""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmgcr where hecrbm.index = gmgcr.index and gmgcr.Alteration = 'increase' and relationship in ('Clostridium')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('Prkaa2','Prkaa1','Il6','Tnf','Il1b','Nos2','Chrm2','Tlr2')"
18,Lactobacillus是否对生猪饲养效率是显著相关的？哪些基因的表达能够增加它的数量？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Lactobacillus""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmgcr where hecrbm.index = gmgcr.index and gmgcr.Alteration = 'increase' and relationship in ('Lactobacillus')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('IL22','MAPK14','Tjp1','Arg1')"
19,Desulfovibrionaceae是否对生猪饲养效率是显著相关的？哪些基因的表达能够增加它的数量？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Desulfovibrionaceae""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmgcr where hecrbm.index = gmgcr.index and gmgcr.Alteration = 'increase' and relationship in ('Desulfovibrionaceae')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('Ahr')"
20,生猪饲养效率的提高会导致哪些微生物群的数量增加？哪些基因的表达能够增加这些微生物群的数量？这些基因的代谢通路有哪些？,"match (s:FE{name:""FE""})-[r:increase]->(o:MicrobiotaName) return o","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmgcr where hecrbm.index = gmgcr.index and gmgcr.Alteration = 'increase' and relationship in ('Cellulosilyticum','Leeia','Subdoligranulum','Rothia','Methanobrevibacter','Bacteroides','Lactobacillus','Oscillibacter','Ruminococcaceae')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('IL22','MAPK14','Tjp1','Arg1','BAX','CASP3','Nr1h4','Fgf15','Fgfr4','Fas')"
21,哪些微生物群与生猪饲养效率显著相关？哪些基因的表达能够增加这些微生物群的数量？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmgcr where hecrbm.`index` = gmgcr.`index` and gmgcr.Alteration = 'increase' and relationship in ('Anaerovibrio','Dorea','Eubacterium','Bacteroides','Clostridium','Lactobacillus','Oscillibacter','Ruminococcus','Faecalibacterium','Desulfovibrionaceae','Rikenellaceae','Streptococcaceae','Lactobacillaceae','Prevotellaceae','Ruminococcaceae','Lachnospiraceae','Lactobacillus johnsonii L531')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('IL22','MAPK14','BAX','Prkaa2','Prkaa1','Tjp1','Il6','Tnf','Il1b','Nos2','Chrm2','Tlr2','Nr1h4','Fgf15','Fgfr4','Fas','Arg1','Ahr')"
22,"哪些微生物群关联于生猪饲养效率，在""Fattening, Unmedicated feed formula / Antibiotics and zinc oxide""条件下Pvalue在0.2与0.21之间？哪些基因的表达能够增加这些微生物群的数量？这些基因的代谢通路有哪些？","match (s:Microbiota)-[r:ASSOCIATED_WITH]->(o) where r.pvalue>0.2 and r.pvalue<0.21 AND r.condition='""Fattening, Unmedicated feed formula / Antibiotics and zinc oxide""' return s.name,r","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmgcr where hecrbm.`index` = gmgcr.`index` and gmgcr.Alteration = 'increase' and relationship in ('Eubacteriaceae','Moraxellaceae','Acinetobacter','Anaeroplasma','Cellulosilyticum','Eubacterium')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BAX','CASP3','Prkaa2','Prkaa1')"
23,"哪些微生物群关联于生猪饲养效率，在""Fresh / Fresh+enzyme""条件下Pvalue=0.19？哪些基因的表达能够增加这些微生物群的数量？这些基因的代谢通路有哪些？","match (s:Microbiota)-[r:ASSOCIATED_WITH]->(o) where r.pvalue=0.19 and r.condition_name='Fresh / Fresh+enzyme' RETURN DISTINCT s.name,r","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmgcr where hecrbm.`index` = gmgcr.`index` and gmgcr.Alteration = 'increase' and relationship in ('Defluviitaleaceae','Enterobacteriaceae')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('Slco4c1','Tnf','Ccl2','Tgfb1','Fn1','Col1a1')"
24,哪些微生物群关联于生猪饲养效率且Pvalue在0.28与0.288之间？哪些基因的表达能够增加这些微生物群的数量？这些基因的代谢通路有哪些？,match (s:Microbiota)-[r:ASSOCIATED_WITH]->(o) where r.pvalue>0.28 and r.pvalue<0.288 RETURN DISTINCT s.name,"Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmgcr where hecrbm.`index` = gmgcr.`index` and gmgcr.Alteration = 'increase' and relationship in ('Deltaproteobacteria','Eubacteriaceae','Alloprevotella','Cloacibacillus','Clostridium XlVa','Clostridium XlVb','Collinsella','Dorea','Dysgonomonas','Eubacterium','Holdemanella','Lysinibacillus','Pseudochrobactrum','Pseudomonas','Sutterella','Pseudomonadales','Euryarchaeota')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('IL17A','RORA','CXCL1','CXCL5','BAX','CASP3','Prkaa2','Prkaa1')"
25,（genera）Dorea，Eubacterium，Bacteroides中哪些微生物群对生猪饲养效率是显著相关的？哪些基因的表达能够减少这些微生物群的数量？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Dorea"",""Eubacterium"",""Bacteroides""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmgcr where hecrbm.`index` = gmgcr.`index` and gmgcr.Alteration = 'decrease' and relationship in ('Dorea','Eubacterium','Bacteroides')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BCL2')"
26,（genera）Clostridium，Lactobacillus，Oscillibacter中哪些微生物群对生猪饲养效率是显著相关的？哪些基因的表达能够减少这些微生物群的数量？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Clostridium"",""Lactobacillus"",""Oscillibacter""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmgcr where hecrbm.`index` = gmgcr.`index` and gmgcr.Alteration = 'decrease' and relationship in ('Clostridium','Lactobacillus','Oscillibacter')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('Gcg','Srebf1','Fas','Srebf2','Hmgcr')"
27,（families）Prevotellaceae，Ruminococcaceae，Lachnospiraceae中哪些微生物群对生猪饲养效率是显著相关的？哪些基因的表达能够减少这些微生物群的数量？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Prevotellaceae"",""Ruminococcaceae"",""Lachnospiraceae""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_metabolite hecrbm join gutmgene.gut_microbiota_gene_change_results gmmgr where hecrbm.`index` = gmmgr.`index`and relationship in ('Prevotellaceae','Ruminococcaceae','Lachnospiraceae')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('EGFR')"
28,Eubacterium是否对生猪饲养效率是显著相关的？哪些基因的表达能够减少这些微生物群的数量？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Eubacterium""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmgcr where hecrbm.`index` = gmgcr.`index` and gmgcr.Alteration = 'decrease' and relationship in ('Eubacterium')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BCL2')"
29,Bacteroides中哪些微生物群对生猪饲养效率是显著相关的？哪些基因的表达能够减少这些微生物群的数量？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Bacteroides""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmgcr where hecrbm.`index` = gmgcr.`index` and gmgcr.Alteration = 'decrease' and relationship in ('Bacteroides')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BCL2','Gcg','Cyp7a1','Sirpa','Cpt1b')"
30,Clostridium中哪些微生物群对生猪饲养效率是显著相关的？哪些基因的表达能够减少这些微生物群的数量？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Clostridium""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmgcr where hecrbm.`index` = gmgcr.`index` and gmgcr.Alteration = 'decrease' and relationship in ('Clostridium')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('Gcg','Srebf1','Fas','Srebf2','Hmgcr')"
31,生猪饲养效率的提高会导致哪些微生物群的数量增加？哪些基因的表达能够减少这些微生物群的数量？这些基因的代谢通路有哪些？,"match (s:FE{name:""FE""})-[r:increase]->(o:MicrobiotaName) return o","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmgcr where hecrbm.`index` = gmgcr.`index` and gmgcr.Alteration = 'decrease' and relationship in ('Cellulosilyticum','Leeia','Subdoligranulum','Rothia','Methanobrevibacter','Bacteroides','Lactobacillus','Oscillibacter','Ruminococcaceae')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BCL2','Gcg','Cyp7a1','Sirpa','Cpt1b')"
32,哪些微生物群与生猪饲养效率显著相关？哪些基因的表达能够减少这些微生物群的数量？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmgcr where hecrbm.`index` = gmgcr.`index` and gmgcr.Alteration = 'decrease' and relationship in ('Anaerovibrio','Dorea','Eubacterium','Bacteroides','Clostridium','Lactobacillus','Oscillibacter','Ruminococcus','Faecalibacterium','Desulfovibrionaceae','Rikenellaceae','Streptococcaceae','Lactobacillaceae','Prevotellaceae','Ruminococcaceae','Lachnospiraceae','Lactobacillus johnsonii L531')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('EGFR','BCL2','Gcg','Cyp7a1','Sirpa','Cpt1b','Srebf1','Fas','Srebf2','Hmgcr')"
33,"哪些微生物群关联于生猪饲养效率，在""Fattening, Unmedicated feed formula / Antibiotics and zinc oxide""条件下Pvalue在0.2与0.21之间？哪些基因的表达能够减少这些微生物群的数量？这些基因的代谢通路有哪些？","match (s:Microbiota)-[r:ASSOCIATED_WITH]->(o) where r.pvalue>0.2 and r.pvalue<0.21 AND r.condition='""Fattening, Unmedicated feed formula / Antibiotics and zinc oxide""' return s.name","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmgcr where hecrbm.`index` = gmgcr.`index` and gmgcr.Alteration = 'decrease' and relationship in ('Eubacteriaceae','Moraxellaceae','Acinetobacter','Anaeroplasma','Cellulosilyticum','Eubacterium')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BCL2')"
34,哪些微生物群关联于生猪饲养效率且Pvalue在0.28与0.288之间？哪些基因的表达能够减少这些微生物群的数量？这些基因的代谢通路有哪些？,match (s:Microbiota)-[r:ASSOCIATED_WITH]->(o) where r.pvalue>0.28 and r.pvalue<0.288 RETURN DISTINCT s.name,"Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmgcr where hecrbm.`index` = gmgcr.`index` and gmgcr.Alteration = 'decrease' and relationship in ('Deltaproteobacteria','Eubacteriaceae','Alloprevotella','Cloacibacillus','Clostridium XlVa','Clostridium XlVb','Collinsella','Dorea','Dysgonomonas','Eubacterium','Holdemanella','Lysinibacillus','Pseudochrobactrum','Pseudomonas','Sutterella','Pseudomonadales','Euryarchaeota')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BCL2')"
35,（genera）Dorea，Eubacterium，Bacteroides中哪些微生物群对生猪饲养效率是显著相关的？这些微生物产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Dorea"",""Eubacterium"",""Bacteroides""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_metabolite hecrbm join gutmgene.gut_microbiota_metabolite_generation_results gmmgr where hecrbm.`index` = gmmgr.`index`and relationship in ('Dorea','Eubacterium','Bacteroides')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BCL2','BAX','CASP3','Prkaa2','Prkaa1','Gcg','Nr1h4','Fgf15','Fgfr4','Cyp7a1','Sirpa','Cpt1b','Fas')"
36,(genera)Clostridium，Lactobacillus，Oscillibacter中哪些微生物群对生猪饲养效率是显著相关的？这些微生物产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Clostridium"",""Lactobacillus"",""Oscillibacter""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_metabolite hecrbm join gutmgene.gut_microbiota_metabolite_generation_results gmmgr where hecrbm.`index` = gmmgr.`index`and relationship in ('Clostridium','Lactobacillus','Oscillibacter')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('IL22','Prkaa2','Prkaa1','Gcg','Tjp1','Il6','Tnf','Il1b','Nos2','Chrm2','Tlr2','Arg1','Srebf1','Fas','Srebf2','Hmgcr')"
37,Desulfovibrionaceae是否对生猪饲养效率是显著相关的？它产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Desulfovibrionaceae""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_metabolite hecrbm join gutmgene.gut_microbiota_metabolite_generation_results gmmgr where hecrbm.`index` = gmmgr.`index`and relationship in ('Desulfovibrionaceae')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('Ahr')"
